CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type
"156","China","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","2460744.0","","G","2584538.0","","G","2695982.0","","G","2878694.0","","G","3058241.0","","G","3320285.0","","G","3463089.0","","G","3469510.0","","G","3324345.0","","G","3318056.0","","G","3405180.0","","G","3487566.0","","G","3694242.0","","G","4525177.0","","G","5288166.0","","G","5790017.0","","G","6414463.0","","G","6791805.0","","G","7037710.0","","G","7687114.0","","G"," "," "," "," "," "," "," "," "," "
"344","China, Hong Kong Special Administrative Region","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","27660.0","","G","28892.0","","G","33428.0","","G","35130.0","","G","31430.0","","G","31621.0","","G","29365.0","","G","30854.0","","G","39233.0","","G","42754.0","","G","40465.0","","G","37972.0","","G","36952.0","","G","40066.0","","G","38415.0","","G","40546.0","","G","38555.0","","G","39963.0","","G","38573.0","","G","36993.0","","G"," "," "," "," "," "," "," "," "," "
"446","China, Macao Special Administrative Region","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","1034.0","","G","1093.0","","G","1085.0","","G","1188.0","","G","1283.0","","G","1243.0","","G","1415.0","","G","1500.0","","G","1566.0","","G","1533.0","","G","1635.0","","G","1687.0","","G","1525.0","","G","1536.0","","G","1727.0","","G","1837.0","","G","1632.0","","G","1558.0","","G","1349.0","","G","1467.0","","G"," "," "," "," "," "," "," "," "," "
"170","Colombia","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","57337.0","","G","57121.0","","G","62049.0","","G","64022.0","","G","67572.0","","G","59611.0","","G","60524.0","","G","64906.0","","G","65977.0","","G","56512.0","","G","57924.0","","G","56274.0","","G","55661.0","","G","57422.0","","G","55071.0","","G","60946.0","","G","62940.0","","G","63439.0","","G","66439.0","","G","71231.0","","G"," "," "," "," "," "," "," "," "," "
"174","Comoros","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","77.0","","G","77.0","","G","77.0","","G","77.0","","G","77.0","","G","81.0","","G","66.0","","G","66.0","","G","73.0","","G","81.0","","G","84.0","","G","88.0","","G","92.0","","G","99.0","","G","103.0","","G","110.0","","G","121.0","","G","121.0","","G","125.0","","G","125.0","","G"," "," "," "," "," "," "," "," "," "
"178","Congo","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","1188.0","","G","1265.0","","G","1573.0","","G","1544.0","","G","2149.0","","G","1566.0","","G","1716.0","","G","2343.0","","G","777.0","","G","821.0","","G","1049.0","","G","862.0","","G","708.0","","G","1085.0","","G","1181.0","","G","1613.0","","G","1459.0","","G","1610.0","","G","1672.0","","G","1944.0","","G"," "," "," "," "," "," "," "," "," "
"184","Cook Islands","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","22.0","","G","22.0","","G","22.0","","G","22.0","","G","22.0","","G","22.0","","G","22.0","","G","22.0","","G","22.0","","G","29.0","","G","29.0","","G","33.0","","G","29.0","","G","33.0","","G","55.0","","G","62.0","","G","66.0","","G","66.0","","G","70.0","","G","70.0","","G"," "," "," "," "," "," "," "," "," "
"188","Costa Rica","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","2956.0","","G","3337.0","","G","3792.0","","G","3953.0","","G","5269.0","","G","4866.0","","G","4749.0","","G","4987.0","","G","5317.0","","G","5523.0","","G","5475.0","","G","5761.0","","G","6326.0","","G","6626.0","","G","6931.0","","G","7088.0","","G","7686.0","","G","8573.0","","G","8647.0","","G","8317.0","","G"," "," "," "," "," "," "," "," "," "
"384","Cote d'Ivoire","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","5798.0","","G","5636.0","","G","4624.0","","G","5893.0","","G","5251.0","","G","7132.0","","G","8379.0","","G","8174.0","","G","6912.0","","G","6267.0","","G","6791.0","","G","7726.0","","G","7286.0","","G","5460.0","","G","7664.0","","G","7825.0","","G","7140.0","","G","6384.0","","G","7015.0","","G","6597.0","","G"," "," "," "," "," "," "," "," "," "
"191","Croatia","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)"," "," "," "," "," "," ","16443.0","","G","16428.0","","G","16876.0","","G","17613.0","","G","18518.0","","G","19296.0","","G","20418.0","","G","20491.0","","G","19644.0","","G","20715.0","","G","21877.0","","G","23542.0","","G","23047.0","","G","23106.0","","G","23175.0","","G","24400.0","","G","23373.0","","G","21536.0","","G"," "," "," "," "," "," "," "," "," "
"192","Cuba","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","33340.0","","G","29633.0","","G","31338.0","","G","29347.0","","G","32200.0","","G","25658.0","","G","26960.0","","G","24606.0","","G","24444.0","","G","25277.0","","G","26039.0","","G","25453.0","","G","26091.0","","G","25486.0","","G","25005.0","","G","26043.0","","G","27403.0","","G","26729.0","","G","29794.0","","G","31617.0","","G"," "," "," "," "," "," "," "," "," "
